# wrapper-substate writer hunt
# pattern: MOV [reg + 0xa0], <imm in [0, 1, 2, 3, 4, 5]>

## Pattern matches (MOV [reg + 0xa0], imm)

scanned 32079663 instructions

### imm = 0 (432 hits)
  1405c99c6  FUN_1405c9970  MOV qword ptr [RBX + 0xa0],0x0
  1405e3c86  FUN_1405e3090  MOV byte ptr [RBP + 0xa0],0x0
  14070af3a  ?  MOV qword ptr [RCX + 0xa0],0x0
  140783c26  FUN_1407837b0  MOV byte ptr [RBP + 0xa0],0x0
  140783d2f  FUN_1407837b0  MOV byte ptr [RBP + 0xa0],0x0
  1407cf970  FUN_1407cf8a0  MOV byte ptr [RBX + 0xa0],0x0
  1407cfbae  FUN_1407cfb30  MOV byte ptr [RBX + 0xa0],0x0
  1407cffca  FUN_1407cff40  MOV byte ptr [RBX + 0xa0],0x0
  1407e3566  FUN_1407e3470  MOV byte ptr [RDI + 0xa0],0x0
  1407e36e6  FUN_1407e35f0  MOV byte ptr [RDI + 0xa0],0x0
  1407e38c6  FUN_1407e37d0  MOV byte ptr [RDI + 0xa0],0x0
  14085ac17  FUN_14085abf0  MOV dword ptr [RBP + 0xa0],0x0
  1408caee0  FUN_1408cad60  MOV dword ptr [RSP + 0xa0],0x0
  1408cb074  FUN_1408cad60  MOV dword ptr [RSP + 0xa0],0x0
  1408f75f1  FUN_1408f7470  MOV word ptr [RAX + 0xa0],0x0
  140bb0939  FUN_140bb0930  MOV qword ptr [RCX + 0xa0],0x0
  140c4400f  FUN_140c43f50  MOV byte ptr [RSP + 0xa0],0x0
  140c5a26c  FUN_140c5a1d0  MOV byte ptr [RSP + 0xa0],0x0
  140c901d6  FUN_140c90100  MOV byte ptr [RBX + 0xa0],0x0
  140cdcc48  FUN_140cdcb20  MOV byte ptr [RBP + 0xa0],0x0
  140d5cce5  FUN_140d5cc20  MOV byte ptr [RSP + 0xa0],0x0
  140da7888  FUN_140da77a0  MOV qword ptr [RBP + 0xa0],0x0
  140dd06ad  FUN_140dd0670  MOV qword ptr [RBX + 0xa0],0x0
  140de1598  FUN_140de1450  MOV qword ptr [RBP + 0xa0],0x0
  140ed7541  FUN_140ed73e0  MOV qword ptr [RSI + 0xa0],0x0
  140edfa3c  FUN_140edf9b0  MOV qword ptr [RAX + 0xa0],0x0
  140ee0480  ?  MOV byte ptr [RCX + 0xa0],0x0
  14102de2e  FUN_14102d420  MOV byte ptr [RBP + 0xa0],0x0
  14102e1b8  FUN_14102d420  MOV byte ptr [RBP + 0xa0],0x0
  14102e2ef  FUN_14102d420  MOV byte ptr [RBP + 0xa0],0x0
  1410a5b52  FUN_1410a5a80  MOV byte ptr [RCX + 0xa0],0x0
  14110cde2  FUN_14110cd60  MOV byte ptr [RSP + 0xa0],0x0
  141199ddd  FUN_141199d30  MOV byte ptr [RSP + 0xa0],0x0
  1411c2e13  FUN_1411c2d40  MOV dword ptr [RSP + 0xa0],0x0
  1412e9bf3  FUN_1412e9b20  MOV dword ptr [RSP + 0xa0],0x0
  1412f1334  FUN_1412f1240  MOV byte ptr [RDI + 0xa0],0x0
  14137a43f  FUN_14137a3e0  MOV dword ptr [RBX + 0xa0],0x0
  1413f0790  FUN_1413f0760  MOV qword ptr [RBX + 0xa0],0x0
