# data window around 147f400f0 (radius 0x40)

addr               qword             interp
----               -----             ------
147f400b0  000000003fa66666   [63xref]
147f400b8  3faab1232f514a03   [14xref]
147f400c0  3fb999999999999a   [25xref]
147f400c8  000000003fc90fdb   [97xref]
147f400d0  3fee54edcd0aeb60   [14xref]
147f400d8  000000003ff00000   [3xref]
147f400e0  4003333333333333   [15xref]
147f400e8  40490fdb4019999a   [29xref]
147f400f0  4120000040c90fdb   [140xref]  <-- CENTER
147f400f8  4180000041400000   [41xref]
147f40100  41c0000041a80000   [4xref]
147f40108  4220000042000000   [36xref]
147f40110  425c666642400000   [7xref]
147f40118  4280000042652ee1   [45xref]
147f40120  42c8000042b40000   [49xref]
147f40128  4316000042ca6666   [2xref]

# end
