typeIndex,name,confidence
0,NullType,registry-only
1,REPClient::RegistrationRequestMsg,direct
2,REPClient::RegistrationRequestV2Msg,direct
3,REPClient::RegistrationResponseMsg,direct
4,MessageLayerTrait::IdentifierMsg,direct
5,MessageLayerTrait::IdentifierAckMsg,direct
6,MessageLayerTrait::IdentifierCompleteMsg,direct
7,ActorStateCacheProxyTrait::FragmentUpdatesMsg,direct
8,(unclaimed),unclaimed
9,(unclaimed),unclaimed
10,(unclaimed),unclaimed
11,(unclaimed),unclaimed
12,(unclaimed),unclaimed
13,(unclaimed),unclaimed
14,(unclaimed),unclaimed
15,(unclaimed),unclaimed
16,(unclaimed),unclaimed
17,(unclaimed),unclaimed
18,(unclaimed),unclaimed
19,REPClient::RegistrationRequestV3Msg,direct
20,(unclaimed),unclaimed
22,Amazon::Hub::RoutingSubListener::State,direct
25,PersistenceRestoreListenerTrait,direct
26,(unclaimed),unclaimed
27,ActorMover::State,direct
28,(unclaimed),unclaimed
29,(unclaimed),unclaimed
30,ConfigOverridesDebugTrait::State,direct
31,(unclaimed),unclaimed
33,(unclaimed),unclaimed
38,(unclaimed),unclaimed
40,(unclaimed),unclaimed
41,(unclaimed),unclaimed
42,PersistenceRestoreTrait::SpawnRestoredMonikerActorMsg,direct
43,(unclaimed),unclaimed
45,(unclaimed),unclaimed
46,EasyAntiCheatClientTrait::State,direct
47,(unclaimed),unclaimed
48,(unclaimed),unclaimed
55,(unclaimed),unclaimed
57,(unclaimed),unclaimed
58,EasyAntiCheatClientTrait,direct
60,(unclaimed),unclaimed
62,(unclaimed),unclaimed
67,(unclaimed),unclaimed
68,(unclaimed),unclaimed
72,(unclaimed),unclaimed
77,(unclaimed),unclaimed
78,(unclaimed),unclaimed
79,(unclaimed),unclaimed
80,ProfanityFilterTrait::State,direct
81,(unclaimed),unclaimed
84,Shuffler::MoveAnActorMsg,direct
85,(unclaimed),unclaimed
87,(unclaimed),unclaimed
89,(unclaimed),unclaimed
91,(unclaimed),unclaimed
92,(unclaimed),unclaimed
93,(unclaimed),unclaimed
96,(unclaimed),unclaimed
98,PersistenceNotificationReceiver::State,direct
100,(unclaimed),unclaimed
102,(unclaimed),unclaimed
103,(unclaimed),unclaimed
104,Amazon::IPC::SetPersistenceWorldIDMessage,direct
105,(unclaimed),unclaimed
106,EasyAntiCheatTrait::UpdateMsg,direct
